;domain;date;name;serving_time;level;nutrition;allergens;tags;ingredient
5;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Hähnchenbrustfilet
6;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Hartkäse
7;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Knoblauch
8;de;5/18;Hähnchenbrust mit cremiger Knoblauchsauce und warmem Kartoffel-Bohnen-Salat;20 bis 30 Minuten;einfach;Kalorien 765kcal, Fett 37.5g, Eiweiß 48.7g, Kohlenhydrate 52.1g;Senf und Milch. Kann Spuren von anderen Allergenen enthalten.;['GLUTENARM', 'UNTER 30MIN.', 'GEFLÜGEL'];Drillinge
0;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Schwarzer Sesam
1;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Sojasauce
2;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Rote Peperoni
3;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Reisessig
4;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Teriyakisauce
5;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Lauchzwiebel
6;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Knoblauch
7;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Frischer Ingwer
8;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Schneidebohnen
9;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Aubergine
10;de;5/18;Teriyaki-Auberginen auf Sobanudeln mit Schneidebohnen und schwarzem Sesam;30 bis 40 Minuten;einfach;Kalorien 664kcal, Fett 18.9g, Eiweiß 19.4g, Kohlenhydrate 101.6g;Sesamsamen, Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['VEGAN', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Sobanudeln
0;de;5/18;Hähnchen-Schawarma im Vollkornpitabrot mit Gurkenjoghurt und Tomatensalat;20 bis 30 Minuten;einfach;Kalorien 545kcal, Fett 20.3g, Eiweiß 42.2g, Kohlenhydrate 42.3g;Gluten und Milch. Kann Spuren von anderen Allergenen enthalten.;['UNTER 30MIN.', 'GEFLÜGEL', 'FAMILIENFREUNDLICH', 'FIT & GESUND'];Tomaten
